time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2024-07-01 00:00,11388.913,8872.537,0.000,0.000
2024-07-01 00:15,11388.970,8872.537,0.000,0.000
2024-07-01 00:30,11389.162,8872.537,0.000,0.000
2024-07-01 00:45,11389.224,8872.537,0.000,0.000
2024-07-01 01:00,11389.274,8872.537,0.000,0.000
2024-07-01 01:15,11389.373,8872.537,0.000,0.000
2024-07-01 01:30,11389.414,8872.537,0.000,0.000
2024-07-01 01:45,11389.459,8872.537,0.000,0.000
2024-07-01 02:00,11389.510,8872.537,0.000,0.000
2024-07-01 02:15,11389.542,8872.537,0.000,0.000
2024-07-01 02:30,11389.567,8872.537,0.000,0.000
2024-07-01 02:45,11389.599,8872.537,0.000,0.000
2024-07-01 03:00,11389.635,8872.537,0.000,0.000
2024-07-01 03:15,11389.743,8872.537,0.000,0.000
2024-07-01 03:30,11389.763,8872.537,0.000,0.000
2024-07-01 03:45,11389.806,8872.537,0.000,0.000
2024-07-01 04:00,11389.849,8872.537,0.000,0.000
2024-07-01 04:15,11389.877,8872.537,0.000,0.000
2024-07-01 04:30,11389.965,8872.537,0.000,0.000
2024-07-01 04:45,11390.010,8872.537,0.000,0.000
2024-07-01 05:00,11390.041,8872.537,0.000,0.000
2024-07-01 05:15,11390.060,8872.537,0.000,0.000
2024-07-01 05:30,11390.089,8872.537,0.000,0.000
2024-07-01 05:45,11390.132,8872.537,0.000,0.000
2024-07-01 06:00,11390.246,8872.537,0.000,0.000
2024-07-01 06:15,11390.268,8872.537,0.000,0.000
2024-07-01 06:30,11390.286,8872.537,0.000,0.000
2024-07-01 06:45,11390.317,8872.537,0.000,0.000
2024-07-01 07:00,11390.348,8872.537,0.000,0.000
2024-07-01 07:15,11390.348,8872.567,0.000,0.000
2024-07-01 07:30,11390.348,8872.674,0.000,0.000
2024-07-01 07:45,11390.348,8872.711,0.000,0.000
2024-07-01 08:00,11390.348,8872.755,0.000,0.000
2024-07-01 08:15,11390.348,8872.789,0.000,0.000
2024-07-01 08:30,11390.348,8872.825,0.000,0.000
2024-07-01 08:45,11390.348,8872.978,0.000,0.000
2024-07-01 09:00,11390.348,8873.029,0.000,0.000
2024-07-01 09:15,11390.348,8873.064,0.000,0.000
2024-07-01 09:30,11390.348,8873.182,0.000,0.000
2024-07-01 09:45,11390.348,8873.232,0.000,0.000
2024-07-01 10:00,11390.348,8873.286,0.000,0.000
2024-07-01 10:15,11390.348,8873.332,0.000,0.000
2024-07-01 10:30,11390.348,8873.440,0.000,0.000
2024-07-01 10:45,11390.348,8873.571,0.000,0.000
2024-07-01 11:00,11390.348,8873.677,0.000,0.000
2024-07-01 11:15,11390.348,8873.724,0.000,0.000
2024-07-01 11:30,11390.348,8873.769,0.000,0.000
2024-07-01 11:45,11390.348,8873.823,0.000,0.000
2024-07-01 12:00,11390.348,8874.052,0.000,0.000
2024-07-01 12:15,11390.348,8874.130,0.000,0.000
2024-07-01 12:30,11390.348,8874.233,0.000,0.000
2024-07-01 12:45,11390.348,8874.289,0.000,0.000
2024-07-01 13:00,11390.348,8874.348,0.000,0.000
2024-07-01 13:15,11390.348,8874.394,0.000,0.000
2024-07-01 13:30,11390.348,8874.435,0.000,0.000
2024-07-01 13:45,11390.348,8874.485,0.000,0.000
2024-07-01 14:00,11390.348,8874.554,0.000,0.000
2024-07-01 14:15,11390.348,8874.657,0.000,0.000
2024-07-01 14:30,11390.348,8874.708,0.000,0.000
2024-07-01 14:45,11390.348,8874.798,0.000,0.000
2024-07-01 15:00,11390.348,8874.857,0.000,0.000
2024-07-01 15:15,11390.348,8874.908,0.000,0.000
2024-07-01 15:30,11390.348,8875.199,0.000,0.000
2024-07-01 15:45,11390.348,8875.282,0.000,0.000
2024-07-01 16:00,11390.348,8875.363,0.000,0.000
2024-07-01 16:15,11390.348,8875.494,0.000,0.000
2024-07-01 16:30,11390.348,8875.537,0.000,0.000
2024-07-01 16:45,11390.348,8875.585,0.000,0.000
2024-07-01 17:00,11390.348,8875.641,0.000,0.000
2024-07-01 17:15,11390.348,8875.700,0.000,0.000
2024-07-01 17:30,11390.348,8875.861,0.000,0.000
2024-07-01 17:45,11390.348,8875.899,0.000,0.000
2024-07-01 18:00,11390.348,8875.946,0.000,0.000
2024-07-01 18:15,11390.348,8875.978,0.000,0.000
2024-07-01 18:30,11390.348,8876.143,0.000,0.000
2024-07-01 18:45,11390.348,8876.197,0.000,0.000
2024-07-01 19:00,11390.348,8876.260,0.000,0.000
2024-07-01 19:15,11390.348,8876.331,0.000,0.000
2024-07-01 19:30,11390.348,8876.395,0.000,0.000
2024-07-01 19:45,11390.348,8876.442,0.000,0.000
2024-07-01 20:00,11390.348,8876.558,0.000,0.000
2024-07-01 20:15,11390.348,8876.616,0.000,0.000
2024-07-01 20:30,11390.348,8877.107,0.000,0.000
2024-07-01 20:45,11390.348,8877.516,0.000,0.000
2024-07-01 21:00,11390.358,8877.848,0.000,0.000
2024-07-01 21:15,11390.643,8877.848,0.000,0.000
2024-07-01 21:30,11391.047,8877.848,0.000,0.000
2024-07-01 21:45,11391.250,8877.848,0.000,0.000
2024-07-01 22:00,11391.438,8877.848,0.000,0.000
